input.txt


The number of words is: 115314


Character     Total     Percent
E             59646     11.64%
T             44879      8.76%
A             40032      7.81%
O             35898      7.01%
I             34034      6.64%
N             33754      6.59%
S             32531      6.35%
H             31750      6.20%
R             26653      5.20%
L             21690      4.23%
D             19279      3.76%
U             13730      2.68%
M             12336      2.41%
C             11806      2.30%
W             11322      2.21%
G             10708      2.09%
F             10687      2.09%
,              9536      1.86%
P              8962      1.75%
Y              8810      1.72%
B              8485      1.66%
V              4512      0.88%
.              4246      0.83%
K              4195      0.82%
'              2431      0.47%
-              2290      0.45%
;              1958      0.38%
Q               915      0.18%
!               739      0.14%
X               665      0.13%
J               596      0.12%
?               464      0.09%
1               410      0.08%
"               323      0.06%
Z               270      0.05%
2               222      0.04%
3               162      0.03%
4               162      0.03%
(               136      0.03%
)               133      0.03%
*               127      0.02%
0               116      0.02%
5               116      0.02%
8                99      0.02%
:                99      0.02%
6                96      0.02%
7                89      0.02%
9                81      0.02%
/                55      0.01%
<                 5      0.00%
>                 5      0.00%
$                 3      0.00%
&                 3      0.00%
#                 0      0.00%
%                 0      0.00%
+                 0      0.00%
=                 0      0.00%
@                 0      0.00%
